E1;E2;E3;C1;C2;C3
16.32512975;16.41103094;16.50042178;16.87908063;16.84698392;17.0124936
14.44611404;14.64419428;14.63288163;14.91545928;14.91751194;15.12533274
15.82706974;15.69462994;16.1539478;15.90218666;15.63464091;15.89595389
15.69128006;15.88738723;15.6110248;15.77866752;15.76108369;15.7096762
15.20189417;15.24837235;15.34419186;15.93221475;15.61211978;15.76593353
15.9891949;16.30094236;16.27835871;16.50751593;16.14244615;16.68240486
17.6420658;17.91963733;17.84910573;18.54211746;18.51318013;18.61041211
13.42416629;13.37313704;13.08679969;13.75028827;13.50196155;13.7841236
18.94377679;18.99592997;19.0855736;19.39009337;19.27351789;19.45918344
17.44562921;17.6778779;17.63305907;18.00935299;18.05929164;18.18259803
17.56709453;17.75211927;17.55076933;17.64079567;18.1596053;18.16147637
15.67181746;15.69076191;15.73025784;16.28049893;16.16857419;16.28807301
15.76582996;15.90618598;15.7557743;15.88633961;16.04219373;15.85844245
15.34387969;15.44821312;15.68781306;15.85720347;15.41617076;15.92323462
16.77204389;17.03385313;17.07060316;17.25868564;17.24405717;17.57891808
15.32527031;15.31383961;15.5935662;15.94466631;15.74083483;16.19417972
15.91426833;16.11770397;16.25841881;16.20558327;16.18594008;16.52172311
14.79477122;14.97862109;14.88163977;14.5488821;14.806902;14.85934065
14.40387749;14.77889848;14.59163922;14.78156463;14.49903614;14.97024073
13.48179943;13.80473605;13.9690267;13.89396508;14.07054027;14.04371086
16.2283302;16.33577415;16.70784441;17.42028922;17.3821596;17.92925263
17.01659068;17.01561106;17.16526033;17.7156135;17.9121935;17.99775836
14.41824794;14.3894969;14.39687232;14.57607094;14.41930186;15.02288792
16.79752221;17.0155675;17.12130079;17.93433013;17.37027022;17.7053894
17.24936349;17.49014577;17.79846547;17.96030744;17.75549398;18.22879521
17.5813845;17.85011967;17.69649216;17.91018596;17.79137913;18.06636779
17.529156;17.60289455;17.5832444;17.6149686;17.58282558;17.75662147
19.806183;19.99011782;19.90504172;20.0570213;20.07690169;20.18488624
21.08665652;20.99485613;21.30915768;21.57972105;21.70329994;21.68741883
20.58175042;20.62130159;20.50410807;20.73057628;20.63497408;20.60441749
16.98576413;17.02174994;16.97840882;16.6794801;16.61075092;16.73514611
14.61470984;15.160935;15.02193425;15.01135831;14.96911667;15.00619457
18.62088204;18.87094562;18.52594131;18.73959275;18.63044845;18.63085722
19.5390092;19.75119261;19.83450346;20.46111869;20.28497317;20.72418075
16.77941158;16.92193389;16.74122996;17.22449164;17.27456015;17.39140304
17.9989815;17.92850103;18.09004003;18.43497023;18.49278813;18.49635059
17.6956565;17.74596969;17.87088844;17.9397858;17.93356388;17.97048791
14.16749655;14.54478336;14.45217688;14.5177924;14.18928406;14.27895756
17.6141922;17.67253584;17.66234154;17.87609122;18.05391528;17.91318745
15.97645225;15.9009847;16.1631386;16.06663582;16.0145436;16.26427765
16.61213418;16.50273859;16.61243659;16.91979443;16.81226506;16.88895724
14.72104577;15.04426603;15.29426175;14.81092303;14.27226527;14.4540422
18.10891236;17.86315179;17.59507533;18.67455781;18.05816617;18.01430385
18.52937336;18.7460911;18.76635744;19.21280508;19.12382082;19.23073584
18.53347042;18.42848695;18.43360989;18.84139543;18.89588883;18.8905671
19.36608525;19.58927442;19.79062691;20.0225412;20.01155759;20.34825052
16.43211775;16.61347295;16.55178335;16.9282986;17.01711288;17.21761697
16.43459565;16.27759616;16.56203369;17.30421761;17.32117943;17.47597878
17.61730962;17.38863958;17.52136273;18.4261214;18.41613777;18.21318968
15.04490635;15.45468485;15.30367374;15.56379211;15.47968555;15.41659963
16.43112213;16.69437149;16.59661199;16.90696104;17.10615396;17.09862842
12.4540422;12.90519895;12.90557504;12.36084708;12.41574177;12.78320289
23.35208843;23.60934007;23.3888273;23.86235463;23.87335634;23.83906401
19.13478476;19.45572655;19.28548576;19.64830491;19.49750298;19.66347472
20.05783576;20.42550585;20.38330667;20.77033482;20.73255003;20.88321977
14.40667006;14.42160465;14.66227895;14.91527253;14.50897081;15.01571994
15.17893712;15.22419014;15.05256805;15.59289497;15.39513244;15.73872562
20.84264652;20.9516938;20.8113841;21.05098518;21.1568762;21.14826803
14.05001867;14.27437815;14.32909556;14.50593558;14.50729912;14.61758225
15.72427402;15.71531855;15.78356101;16.16529959;16.10012846;16.28104255
18.42504375;18.59246434;18.41139927;19.05331077;19.00261177;19.04745679
16.14621066;16.29072087;16.38388988;16.93100292;16.65839281;16.96068075
20.30143368;20.61815157;20.62489182;21.03197844;21.35326207;21.39688277
18.98835462;19.0053751;18.8777125;20.01004588;19.76065661;19.84087164
17.33155555;17.15061005;17.38436218;17.8692444;17.44305685;18.12223147
17.00863652;17.0478162;17.09508791;17.53631552;17.6843925;17.51144382
19.3083857;19.68595842;19.59844875;20.13291512;19.93566002;20.3594965
15.0563837;15.13366402;15.22471772;15.44695404;15.43537727;15.6534609
21.11098025;21.2628467;21.11744716;21.76120709;21.80012536;21.84042412
17.8531024;18.01816214;17.91295949;18.25565563;18.23901108;18.27583806
22.47121031;22.72579581;22.45854729;23.09691409;23.13820648;23.1336601
16.53345141;16.9937345;17.04195854;17.41732512;17.78160945;17.72904314
16.22846173;15.53645972;15.97223941;16.36345036;15.74730137;16.5167465
21.02803959;21.13687099;21.05956099;21.61129187;21.7063375;21.73186549
17.37359588;17.67471641;17.37221041;18.19592004;17.91714478;18.28911382
13.17508167;13.07531201;13.68244601;13.54085453;12.96018298;13.76487159
22.87415007;23.01069849;23.19819562;23.73217457;23.56908028;23.91811266
19.20254714;19.26718674;19.45144255;19.5890037;19.81057477;19.99179308
13.70184791;13.96036401;13.92091107;14.260258;14.27117119;14.42750928
17.23937477;17.2381528;17.19236988;18.20299903;17.80293282;17.82135671
20.68689629;20.89818139;20.82038077;21.33707087;21.18728259;21.40886924
