,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
3057,433.0,638.0,0.0,0.0,t test (1-sample),0.7
3058,469.0,849.0,2.0,98.0,t-test,0.7
3059,437.0,957.0,36.0,759.0,modT (2-sample),0.7
3060,537.0,981.0,85.0,867.0,cyberT,0.7
3061,468.0,971.0,33.0,677.0,modT,0.7
3062,458.0,609.0,0.0,1.0,t test (1-sample),0.7
3063,452.0,849.0,0.0,47.0,t-test,0.7
3064,468.0,961.0,49.0,765.0,modT (2-sample),0.7
3065,533.0,969.0,89.0,872.0,cyberT,0.7
3066,441.0,954.0,38.0,686.0,modT,0.7
3067,409.0,623.0,0.0,0.0,t test (1-sample),0.7
3068,440.0,835.0,8.0,103.0,t-test,0.7
3069,469.0,952.0,38.0,753.0,modT (2-sample),0.7
3070,507.0,961.0,76.0,837.0,cyberT,0.7
3071,451.0,946.0,27.0,640.0,modT,0.7
3072,449.0,636.0,0.0,0.0,t test (1-sample),0.7
3073,463.0,848.0,6.0,109.0,t-test,0.7
3074,447.0,940.0,28.0,749.0,modT (2-sample),0.7
3075,488.0,970.0,85.0,874.0,cyberT,0.7
3076,426.0,954.0,26.0,693.0,modT,0.7
3077,460.0,606.0,0.0,0.0,t test (1-sample),0.7
3078,451.0,845.0,3.0,49.0,t-test,0.7
3079,440.0,956.0,27.0,754.0,modT (2-sample),0.7
3080,530.0,966.0,102.0,848.0,cyberT,0.7
3081,463.0,956.0,35.0,646.0,modT,0.7
3082,476.0,627.0,0.0,0.0,t test (1-sample),0.7
3083,450.0,836.0,6.0,87.0,t-test,0.7
3084,460.0,955.0,45.0,745.0,modT (2-sample),0.7
3085,542.0,962.0,90.0,853.0,cyberT,0.7
3086,476.0,948.0,35.0,690.0,modT,0.7
3087,483.0,628.0,0.0,0.0,t test (1-sample),0.7
3088,473.0,838.0,10.0,79.0,t-test,0.7
3089,467.0,943.0,40.0,730.0,modT (2-sample),0.7
3090,542.0,978.0,77.0,867.0,cyberT,0.7
3091,477.0,965.0,28.0,721.0,modT,0.7
3092,468.0,617.0,0.0,0.0,t test (1-sample),0.7
3093,485.0,847.0,0.0,15.0,t-test,0.7
3094,497.0,966.0,38.0,766.0,modT (2-sample),0.7
3095,487.0,965.0,65.0,852.0,cyberT,0.7
3096,440.0,958.0,26.0,685.0,modT,0.7
3097,458.0,625.0,0.0,0.0,t test (1-sample),0.7
3098,449.0,837.0,0.0,32.0,t-test,0.7
3099,411.0,952.0,25.0,750.0,modT (2-sample),0.7
3100,484.0,969.0,68.0,847.0,cyberT,0.7
3101,408.0,951.0,25.0,688.0,modT,0.7
3102,458.0,603.0,0.0,0.0,t test (1-sample),0.7
3103,440.0,835.0,8.0,90.0,t-test,0.7
3104,416.0,952.0,28.0,720.0,modT (2-sample),0.7
3105,553.0,972.0,90.0,860.0,cyberT,0.7
3106,470.0,959.0,38.0,673.0,modT,0.7
3107,444.0,644.0,0.0,0.0,t test (1-sample),0.7
3108,503.0,833.0,3.0,44.0,t-test,0.7
3109,487.0,950.0,38.0,726.0,modT (2-sample),0.7
3110,556.0,962.0,85.0,860.0,cyberT,0.7
3111,507.0,954.0,41.0,719.0,modT,0.7
3112,490.0,636.0,0.0,0.0,t test (1-sample),0.7
3113,464.0,834.0,0.0,1.0,t-test,0.7
