,AUROC,AUPRC,pAUROC,labels,setting
0,0.8988146,0.526304,0.36495554,fold change,"(1, 9)"
1,0.8625266,0.427064,0.2597689,t-test-1,"(1, 9)"
2,,,,t-test-2,"(1, 9)"
3,0.88505137,0.49605048,0.3342489,modT-1,"(1, 9)"
4,0.88505137,0.49605048,0.3342489,modT-2,"(1, 9)"
5,0.88525814,0.4990461,0.33674446,modT-1 trend,"(1, 9)"
6,0.8850388,0.49588466,0.33404666,modT-2 trend,"(1, 9)"
7,0.8905998,0.5081633,0.3458289,RegT,"(1, 9)"
8,0.8889405,0.5153613,0.33336446,fold change,"(1, 9)"
9,0.8544266,0.40512046,0.23474222,t-test-1,"(1, 9)"
10,,,,t-test-2,"(1, 9)"
11,0.8763264,0.47896343,0.30764446,modT-1,"(1, 9)"
12,0.8763264,0.47896343,0.30764446,modT-2,"(1, 9)"
13,0.8764421,0.48253047,0.3108089,modT-1 trend,"(1, 9)"
14,0.8763461,0.4793493,0.3078311,modT-2 trend,"(1, 9)"
15,0.8824538,0.4956352,0.32310224,RegT,"(1, 9)"
16,0.87863517,0.50350785,0.33857554,fold change,"(1, 9)"
17,0.84830475,0.4251893,0.25092223,t-test-1,"(1, 9)"
18,,,,t-test-2,"(1, 9)"
19,0.8682141,0.4850002,0.31613332,modT-1,"(1, 9)"
20,0.8682141,0.4850002,0.31613332,modT-2,"(1, 9)"
21,0.86845,0.48605603,0.31728,modT-1 trend,"(1, 9)"
22,0.86823195,0.48525482,0.3163778,modT-2 trend,"(1, 9)"
23,0.8715648,0.49396268,0.3288711,RegT,"(1, 9)"
24,0.8972163,0.544972,0.37056443,fold change,"(1, 9)"
25,0.8615853,0.44583246,0.26259333,t-test-1,"(1, 9)"
26,,,,t-test-2,"(1, 9)"
27,0.88366556,0.51830786,0.34485334,modT-1,"(1, 9)"
28,0.88366556,0.51830786,0.34485334,modT-2,"(1, 9)"
29,0.88440686,0.52785546,0.35413778,modT-1 trend,"(1, 9)"
30,0.8835147,0.5177547,0.34449777,modT-2 trend,"(1, 9)"
31,0.88839597,0.53360623,0.3601889,RegT,"(1, 9)"
32,0.888091,0.5167466,0.3534889,fold change,"(1, 9)"
33,0.855961,0.4222925,0.24201111,t-test-1,"(1, 9)"
34,,,,t-test-2,"(1, 9)"
35,0.8773928,0.4879323,0.31698668,modT-1,"(1, 9)"
36,0.8773928,0.4879323,0.31698668,modT-2,"(1, 9)"
37,0.8770131,0.4885022,0.31658223,modT-1 trend,"(1, 9)"
38,0.8773921,0.48798895,0.31673557,modT-2 trend,"(1, 9)"
39,0.8822411,0.50000906,0.33223778,RegT,"(1, 9)"
40,0.8952042,0.5287007,0.36097333,fold change,"(1, 9)"
41,0.8581847,0.40834552,0.2324289,t-test-1,"(1, 9)"
42,,,,t-test-2,"(1, 9)"
43,0.88192,0.49267533,0.31818223,modT-1,"(1, 9)"
44,0.88192,0.49267533,0.31818223,modT-2,"(1, 9)"
45,0.882221,0.5013505,0.32423332,modT-1 trend,"(1, 9)"
46,0.8818938,0.49218553,0.31790668,modT-2 trend,"(1, 9)"
47,0.8879086,0.51305044,0.34226888,RegT,"(1, 9)"
48,0.8983614,0.5133502,0.34155113,fold change,"(1, 9)"
49,0.8674824,0.43845516,0.24935333,t-test-1,"(1, 9)"
50,,,,t-test-2,"(1, 9)"
51,0.88848925,0.49563152,0.31286445,modT-1,"(1, 9)"
52,0.88848925,0.49563152,0.31286445,modT-2,"(1, 9)"
53,0.8894723,0.5038367,0.3205089,modT-1 trend,"(1, 9)"
54,0.88849664,0.4956832,0.31294888,modT-2 trend,"(1, 9)"
55,0.89202076,0.5040925,0.32124,RegT,"(1, 9)"
56,0.8818214,0.49683017,0.33146667,fold change,"(1, 9)"
57,0.85007554,0.41641533,0.24272,t-test-1,"(1, 9)"
58,,,,t-test-2,"(1, 9)"
59,0.87065023,0.47291908,0.30214667,modT-1,"(1, 9)"
60,0.87065023,0.47291908,0.30214667,modT-2,"(1, 9)"
61,0.8711536,0.48058575,0.30938223,modT-1 trend,"(1, 9)"
62,0.8707159,0.4730035,0.30226666,modT-2 trend,"(1, 9)"
63,0.8761231,0.4841337,0.31651112,RegT,"(1, 9)"
64,0.9009743,0.53529036,0.35171777,fold change,"(1, 9)"
65,0.8655417,0.43251255,0.25039113,t-test-1,"(1, 9)"
66,,,,t-test-2,"(1, 9)"
67,0.88739824,0.49988946,0.31822222,modT-1,"(1, 9)"
68,0.88739824,0.49988946,0.31822222,modT-2,"(1, 9)"
69,0.88746953,0.50489545,0.32240888,modT-1 trend,"(1, 9)"
70,0.8874514,0.49987218,0.3185111,modT-2 trend,"(1, 9)"
71,0.89294636,0.5169294,0.33740443,RegT,"(1, 9)"
72,0.8940247,0.5068458,0.3365711,fold change,"(1, 9)"
73,0.859436,0.40353087,0.21364667,t-test-1,"(1, 9)"
74,,,,t-test-2,"(1, 9)"
75,0.88184404,0.47057545,0.2981689,modT-1,"(1, 9)"
76,0.88184404,0.47057545,0.2981689,modT-2,"(1, 9)"
77,0.88218075,0.4707556,0.29906446,modT-1 trend,"(1, 9)"
78,0.8818774,0.4705617,0.29808888,modT-2 trend,"(1, 9)"
79,0.88759905,0.49289662,0.3219422,RegT,"(1, 9)"
80,0.8917345,0.5198064,0.34945777,fold change,"(1, 9)"
81,0.8581409,0.4125163,0.24017334,t-test-1,"(1, 9)"
82,,,,t-test-2,"(1, 9)"
83,0.88008606,0.48729292,0.31276223,modT-1,"(1, 9)"
84,0.88008606,0.48729292,0.31276223,modT-2,"(1, 9)"
85,0.88019013,0.49340335,0.3182689,modT-1 trend,"(1, 9)"
