,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
114,505.0,103.0,0.0,0.0,t-test-2,0.1
115,451.0,93.0,1.0,0.0,modT-1,0.1
116,461.0,94.0,0.0,0.0,modT-2,0.1
117,275.0,61.0,0.0,0.0,modT-1 trend,0.1
118,461.0,98.0,0.0,0.0,modT-2 trend,0.1
119,548.0,110.0,1.0,1.0,RegT,0.1
120,1.0,0.0,0.0,0.0,fold change,0.1
121,454.0,71.0,0.0,0.0,t-test-1,0.1
122,528.0,84.0,0.0,0.0,t-test-2,0.1
123,429.0,75.0,0.0,0.0,modT-1,0.1
124,464.0,80.0,0.0,0.0,modT-2,0.1
125,241.0,49.0,0.0,0.0,modT-1 trend,0.1
126,465.0,80.0,0.0,0.0,modT-2 trend,0.1
127,537.0,88.0,1.0,0.0,RegT,0.1
128,1.0,0.0,0.0,0.0,fold change,0.1
129,426.0,67.0,0.0,0.0,t-test-1,0.1
130,477.0,88.0,0.0,0.0,t-test-2,0.1
131,405.0,73.0,0.0,0.0,modT-1,0.1
132,444.0,81.0,0.0,0.0,modT-2,0.1
133,223.0,45.0,0.0,0.0,modT-1 trend,0.1
134,449.0,82.0,0.0,0.0,modT-2 trend,0.1
135,507.0,91.0,0.0,0.0,RegT,0.1
136,1.0,0.0,0.0,0.0,fold change,0.1
137,436.0,86.0,0.0,0.0,t-test-1,0.1
138,511.0,85.0,0.0,0.0,t-test-2,0.1
139,423.0,90.0,0.0,0.0,modT-1,0.1
140,447.0,90.0,0.0,0.0,modT-2,0.1
141,229.0,56.0,0.0,0.0,modT-1 trend,0.1
142,452.0,89.0,0.0,0.0,modT-2 trend,0.1
143,532.0,98.0,0.0,0.0,RegT,0.1
144,2.0,0.0,0.0,0.0,fold change,0.1
145,474.0,58.0,0.0,0.0,t-test-1,0.1
146,485.0,89.0,0.0,0.0,t-test-2,0.1
147,427.0,79.0,0.0,0.0,modT-1,0.1
148,437.0,87.0,0.0,0.0,modT-2,0.1
149,256.0,48.0,0.0,0.0,modT-1 trend,0.1
150,436.0,88.0,0.0,0.0,modT-2 trend,0.1
151,522.0,98.0,1.0,0.0,RegT,0.1
152,1.0,0.0,0.0,0.0,fold change,0.1
153,435.0,51.0,0.0,0.0,t-test-1,0.1
154,507.0,82.0,0.0,0.0,t-test-2,0.1
155,467.0,90.0,0.0,0.0,modT-1,0.1
156,495.0,94.0,0.0,0.0,modT-2,0.1
157,216.0,49.0,0.0,0.0,modT-1 trend,0.1
158,496.0,94.0,0.0,0.0,modT-2 trend,0.1
159,554.0,103.0,0.0,0.0,RegT,0.1
160,1.0,0.0,0.0,0.0,fold change,0.1
161,440.0,77.0,0.0,0.0,t-test-1,0.1
162,485.0,100.0,0.0,0.0,t-test-2,0.1
163,464.0,92.0,0.0,0.0,modT-1,0.1
164,478.0,98.0,0.0,0.0,modT-2,0.1
165,236.0,55.0,0.0,0.0,modT-1 trend,0.1
166,476.0,98.0,0.0,0.0,modT-2 trend,0.1
167,557.0,113.0,1.0,0.0,RegT,0.1
168,0.0,1.0,0.0,0.0,fold change,0.1
169,457.0,74.0,0.0,0.0,t-test-1,0.1
170,492.0,93.0,0.0,0.0,t-test-2,0.1
171,412.0,69.0,0.0,0.0,modT-1,0.1
172,456.0,76.0,1.0,0.0,modT-2,0.1
173,228.0,38.0,0.0,0.0,modT-1 trend,0.1
174,452.0,76.0,1.0,0.0,modT-2 trend,0.1
175,525.0,89.0,1.0,1.0,RegT,0.1
176,1.0,0.0,0.0,0.0,fold change,0.1
177,442.0,59.0,0.0,0.0,t-test-1,0.1
178,462.0,77.0,0.0,0.0,t-test-2,0.1
179,430.0,64.0,0.0,0.0,modT-1,0.1
180,453.0,77.0,0.0,0.0,modT-2,0.1
181,185.0,18.0,0.0,0.0,modT-1 trend,0.1
182,456.0,77.0,0.0,0.0,modT-2 trend,0.1
183,541.0,88.0,2.0,0.0,RegT,0.1
184,2.0,0.0,0.0,0.0,fold change,0.1
185,437.0,59.0,0.0,0.0,t-test-1,0.1
186,486.0,77.0,0.0,0.0,t-test-2,0.1
187,471.0,77.0,2.0,0.0,modT-1,0.1
188,471.0,77.0,0.0,0.0,modT-2,0.1
189,223.0,46.0,0.0,0.0,modT-1 trend,0.1
190,473.0,76.0,0.0,0.0,modT-2 trend,0.1
191,545.0,90.0,5.0,0.0,RegT,0.1
192,2.0,0.0,0.0,0.0,fold change,0.1
