"X","AUROC","AUPRC","pAUROC","labels","setting"
1142,0.951503992081,0.449302375317,0.651768863201,"Normal, all: fold_change",-0.6
1143,0.965141177177,0.621703326702,0.737999022007,"Uniform, all: ModT",-0.6
1144,0.964155912399,0.596463024616,0.718890011311,"Uniform, all: CyberT",-0.6
1145,0.965917348862,0.631467282772,0.748123824596,"Uniform, all: fold_change",-0.6
1146,0.966894388199,0.746631801128,0.735399186611,"Normal: ModT",-0.6
1147,0.965678393841,0.737891316414,0.725734889507,"Normal: CyberT",-0.6
1148,0.967373549938,0.749905645847,0.737790167332,"Normal: fold_change",-0.6
1149,0.969991505146,0.383170306683,0.65320789814,"Normal, all: ModT",-0.6
1150,0.967456281185,0.352990448475,0.619028568268,"Normal, all: CyberT",-0.6
1151,0.970039606094,0.397956699133,0.655179381371,"Normal, all: fold_change",-0.6
1152,0.961857199669,0.644956707954,0.738671183586,"Uniform, all: ModT",-0.6
1153,0.961114704609,0.622758984566,0.728495776653,"Uniform, all: CyberT",-0.6
1154,0.961730957031,0.648286223412,0.742100596428,"Uniform, all: fold_change",-0.6
1155,0.965765416622,0.735226809978,0.727615356445,"Normal: ModT",-0.6
1156,0.964657723904,0.722171366215,0.720184981823,"Normal: CyberT",-0.6
1157,0.96633464098,0.7370210886,0.73051482439,"Normal: fold_change",-0.6
1158,0.972876012325,0.545440912247,0.755074560642,"Normal, all: ModT",-0.6
1159,0.972200274467,0.528436124325,0.743935525417,"Normal, all: CyberT",-0.6
1160,0.972691059113,0.549404025078,0.754343032837,"Normal, all: fold_change",-0.6
1161,0.96144592762,0.619406700134,0.699370920658,"Uniform, all: ModT",-0.6
1162,0.961404800415,0.616085112095,0.699529826641,"Uniform, all: CyberT",-0.6
1163,0.961338758469,0.625684857368,0.703314840794,"Uniform, all: fold_change",-0.6
1164,0.966867387295,0.752983748913,0.747951805592,"Normal: ModT",-0.6
1165,0.96646630764,0.743267774582,0.74029648304,"Normal: CyberT",-0.6
1166,0.967423796654,0.756509244442,0.750246703625,"Normal: fold_change",-0.6
1167,0.941874325275,0.497062981129,0.725777208805,"Normal, all: ModT",-0.6
1168,0.94133234024,0.488562136889,0.72357326746,"Normal, all: CyberT",-0.6
1169,0.941709220409,0.505419969559,0.733509480953,"Normal, all: fold_change",-0.6
1170,0.967988967896,0.663506984711,0.750322282314,"Uniform, all: ModT",-0.6
1171,0.967083275318,0.643231391907,0.741926312447,"Uniform, all: CyberT",-0.6
1172,0.968329548836,0.673273861408,0.756096303463,"Uniform, all: fold_change",-0.6
1173,0.96846061945,0.76155436039,0.754991292953,"Normal: ModT",-0.6
1174,0.967742025852,0.746189534664,0.738192975521,"Normal: CyberT",-0.6
1175,0.969283938408,0.770568668842,0.759903907776,"Normal: fold_change",-0.6
1176,0.96935993433,0.435050606728,0.685764849186,"Normal, all: ModT",-0.6
1177,0.967783153057,0.417528539896,0.689238369465,"Normal, all: CyberT",-0.6
1178,0.96968793869,0.451271682978,0.694785237312,"Normal, all: fold_change",-0.6
1179,0.968919634819,0.683812737465,0.762645602226,"Uniform, all: ModT",-0.6
1180,0.96817535162,0.665170133114,0.750250518322,"Uniform, all: CyberT",-0.6
1181,0.969060242176,0.696476459503,0.773219585419,"Uniform, all: fold_change",-0.6
1182,0.9678363204,0.751819074154,0.743439793587,"Normal: ModT",-0.6
1183,0.96725076437,0.744590163231,0.736811041832,"Normal: CyberT",-0.6
1184,0.969339549541,0.765371441841,0.755679965019,"Normal: fold_change",-0.6
1185,0.970444500446,0.531310141087,0.744399428368,"Normal, all: ModT",-0.6
1186,0.971303641796,0.519724547863,0.740978717804,"Normal, all: CyberT",-0.6
1187,0.970383644104,0.554719626904,0.741380631924,"Normal, all: fold_change",-0.6
1188,0.96672642231,0.638952076435,0.73862695694,"Uniform, all: ModT",-0.6
1189,0.966559112072,0.629123926163,0.735580742359,"Uniform, all: CyberT",-0.6
1190,0.967639565468,0.646758496761,0.750003218651,"Uniform, all: fold_change",-0.6
1191,0.967915177345,0.73451179266,0.725504159927,"Normal: ModT",-0.6
1192,0.967071533203,0.714095890522,0.706321001053,"Normal: CyberT",-0.6
1193,0.968348443508,0.739595413208,0.730616509914,"Normal: fold_change",-0.6
1194,0.965969324112,0.515080809593,0.741822302341,"Normal, all: ModT",-0.6
1195,0.965261340141,0.501873314381,0.726628243923,"Normal, all: CyberT",-0.6
1196,0.966666340828,0.529961585999,0.746749699116,"Normal, all: fold_change",-0.6
1197,0.97094887495,0.644135057926,0.726233243942,"Uniform, all: ModT",-0.6
1198,0.970247864723,0.623902380466,0.718047380447,"Uniform, all: CyberT",-0.6
1199,0.970673024654,0.645525515079,0.725969851017,"Uniform, all: fold_change",-0.6
1200,0.966431200504,0.728176832199,0.716408848763,"Normal: ModT",-0.6
1201,0.965588748455,0.713700652122,0.703019499779,"Normal: CyberT",-0.6
1202,0.966972351074,0.738746583462,0.723760247231,"Normal: fold_change",-0.6
1203,0.949869334698,0.431026995182,0.67262840271,"Normal, all: ModT",-0.6
1204,0.948431670666,0.430019557476,0.6702003479,"Normal, all: CyberT",-0.6
1205,0.949636399746,0.437468141317,0.679729104042,"Normal, all: fold_change",-0.6
1206,0.969806730747,0.618483960629,0.739104986191,"Uniform, all: ModT",-0.6
1207,0.967870891094,0.603994011879,0.728395819664,"Uniform, all: CyberT",-0.6
1208,0.969695448875,0.629867911339,0.743736505508,"Uniform, all: fold_change",-0.6
1209,0.966600477695,0.749893009663,0.741179049015,"Normal: ModT",-0.6
1210,0.96610045433,0.749250113964,0.737214624882,"Normal: CyberT",-0.6
1211,0.967416226864,0.755903244019,0.746905565262,"Normal: fold_change",-0.6
1212,0.97125595808,0.545584261417,0.7436632514,"Normal, all: ModT",-0.6
1213,0.969440281391,0.510475635529,0.728264510632,"Normal, all: CyberT",-0.6
1214,0.971452474594,0.559542775154,0.744069755077,"Normal, all: fold_change",-0.6
1215,0.968569457531,0.633045434952,0.728598952293,"Uniform, all: ModT",-0.6
1216,0.967693567276,0.621934175491,0.728642523289,"Uniform, all: CyberT",-0.6
1217,0.969083428383,0.647095859051,0.740862011909,"Uniform, all: fold_change",-0.6
1218,0.97316044569,0.76499068737,0.758335471153,"Normal: ModT",-0.6
1219,0.971490442753,0.748076438904,0.743168413639,"Normal: CyberT",-0.6
1220,0.973652601242,0.773629784584,0.765827655792,"Normal: fold_change",-0.6
1221,0.959066271782,0.497000575066,0.7074457407,"Normal, all: ModT",-0.6
1222,0.958976268768,0.490111857653,0.708926439285,"Normal, all: CyberT",-0.6
1223,0.95930570364,0.515015661716,0.718733012676,"Normal, all: fold_change",-0.6
1224,0.965888619423,0.630417823792,0.713349938393,"Uniform, all: ModT",-0.6
1225,0.964686155319,0.616809308529,0.705432593822,"Uniform, all: CyberT",-0.6
1226,0.966009557247,0.633768379688,0.716049492359,"Uniform, all: fold_change",-0.6
1227,0.960365116596,0.739404797554,0.731254339218,"Normal: ModT",-0.6
1228,0.959741592407,0.730084717274,0.726509869099,"Normal: CyberT",-0.6
1229,0.961660563946,0.750539422035,0.741254925728,"Normal: fold_change",-0.6
1230,0.974760234356,0.520476102829,0.764795005322,"Normal, all: ModT",-0.6
1231,0.976423382759,0.503434896469,0.762421607971,"Normal, all: CyberT",-0.6
1232,0.973850667477,0.532127737999,0.764452397823,"Normal, all: fold_change",-0.6
1233,0.971841216087,0.651401996613,0.744704663754,"Uniform, all: ModT",-0.6
1234,0.971638977528,0.639808535576,0.744044065475,"Uniform, all: CyberT",-0.6
1235,0.972899258137,0.670891463757,0.764049530029,"Uniform, all: fold_change",-0.6
1236,0.964166998863,0.731103360653,0.727190375328,"Normal: ModT",-0.6
1237,0.963979423046,0.721362650394,0.715084195137,"Normal: CyberT",-0.6
1238,0.965791285038,0.740953624249,0.736686944962,"Normal: fold_change",-0.6
1239,0.956778109074,0.523441135883,0.739545226097,"Normal, all: ModT",-0.6
1240,0.956089615822,0.516979753971,0.742331624031,"Normal, all: CyberT",-0.6
1241,0.958627820015,0.547799050808,0.755323708057,"Normal, all: fold_change",-0.6
1242,0.965711176395,0.640125870705,0.727088630199,"Uniform, all: ModT",-0.6
1243,0.964866161346,0.632999539375,0.721239686012,"Uniform, all: CyberT",-0.6
1244,0.965398907661,0.645718157291,0.727103412151,"Uniform, all: fold_change",-0.6
1245,0.963627099991,0.710460007191,0.695362508297,"Normal: ModT",-0.6
1246,0.963123083115,0.706532657146,0.691593587399,"Normal: CyberT",-0.6
1247,0.964510858059,0.718295097351,0.70405036211,"Normal: fold_change",-0.6
1248,0.973053097725,0.509294688702,0.720572054386,"Normal, all: ModT",-0.6
1249,0.973101496696,0.48241057992,0.706532716751,"Normal, all: CyberT",-0.6
1250,0.973501324654,0.514254868031,0.722960233688,"Normal, all: fold_change",-0.6
1251,0.956639409065,0.58548694849,0.698485374451,"Uniform, all: ModT",-0.6
1252,0.955322980881,0.573983550072,0.686069786549,"Uniform, all: CyberT",-0.6
1253,0.956541717052,0.590375065804,0.697906076908,"Uniform, all: fold_change",-0.6
1254,0.95756071806,0.715412735939,0.697340846062,"Normal: ModT",-0.6
1255,0.956707119942,0.702415347099,0.687191963196,"Normal: CyberT",-0.6
1256,0.957844078541,0.716296613216,0.697298049927,"Normal: fold_change",-0.6
1257,0.956094264984,0.482721030712,0.701362729073,"Normal, all: ModT",-0.6
1258,0.955528199673,0.477566838264,0.698861539364,"Normal, all: CyberT",-0.6
1259,0.958679199219,0.495235681534,0.715019643307,"Normal, all: fold_change",-0.6
1260,0.965768158436,0.629537701607,0.721690177917,"Uniform, all: ModT",-0.6
1261,0.966260313988,0.621237456799,0.7151902318,"Uniform, all: CyberT",-0.6
1262,0.967601895332,0.638484477997,0.723675906658,"Uniform, all: fold_change",-0.6
1263,0.970039486885,0.740360736847,0.729098141193,"Normal: ModT",-0.6
1264,0.968965947628,0.730271160603,0.722772717476,"Normal: CyberT",-0.6
1265,0.970747172832,0.747089982033,0.735564231873,"Normal: fold_change",-0.6
1266,0.973612427711,0.501027703285,0.730395257473,"Normal, all: ModT",-0.6
1267,0.971337914467,0.484369575977,0.708627343178,"Normal, all: CyberT",-0.6
1268,0.974205076694,0.560180723667,0.742378890514,"Normal, all: fold_change",-0.6
1269,0.971215903759,0.66302293539,0.745069265366,"Uniform, all: ModT",-0.6
1270,0.970695734024,0.642317593098,0.734423518181,"Uniform, all: CyberT",-0.6
1271,0.971522092819,0.671064794064,0.752942383289,"Uniform, all: fold_change",-0.6
1272,0.967111766338,0.744171619415,0.73417454958,"Normal: ModT",-0.6
1273,0.965508043766,0.72851139307,0.722964525223,"Normal: CyberT",-0.6
1274,0.967038989067,0.745008468628,0.73349237442,"Normal: fold_change",-0.6
1275,0.968147754669,0.507766544819,0.742120504379,"Normal, all: ModT",-0.6
1276,0.96813338995,0.488223999739,0.727599620819,"Normal, all: CyberT",-0.6
1277,0.96863925457,0.531345307827,0.755852460861,"Normal, all: fold_change",-0.6
1278,0.962249755859,0.62829297781,0.723786771297,"Uniform, all: ModT",-0.6
1279,0.963244736195,0.62368452549,0.721692085266,"Uniform, all: CyberT",-0.6
1280,0.963324010372,0.639710366726,0.730347633362,"Uniform, all: fold_change",-0.6
1281,0.973195791245,0.77602148056,0.763833224773,"Normal: ModT",-0.6
1282,0.972615838051,0.761052370071,0.751470088959,"Normal: CyberT",-0.6
1283,0.974206030369,0.784085631371,0.770961880684,"Normal: fold_change",-0.6
1284,0.970435738564,0.461154609919,0.718827426434,"Normal, all: ModT",-0.6
1285,0.967020094395,0.448166579008,0.695172309875,"Normal, all: CyberT",-0.6
1286,0.97117882967,0.462687790394,0.725903153419,"Normal, all: fold_change",-0.6
1287,0.966406941414,0.647124826908,0.7581204772,"Uniform, all: ModT",-0.6
1288,0.96554017067,0.635021805763,0.750544011593,"Uniform, all: CyberT",-0.6
1289,0.967363834381,0.668396651745,0.766162097454,"Uniform, all: fold_change",-0.6
1290,0.963052630424,0.738097548485,0.729051172733,"Normal: ModT",-0.6
1291,0.962469041348,0.726713657379,0.715897142887,"Normal: CyberT",-0.6
1292,0.963106870651,0.741899907589,0.730430841446,"Normal: fold_change",-0.6
1293,0.970258414745,0.537293434143,0.766811847687,"Normal, all: ModT",-0.6
1294,0.968716323376,0.504130601883,0.751718699932,"Normal, all: CyberT",-0.6
1295,0.971181154251,0.538976073265,0.769673287868,"Normal, all: fold_change",-0.6
1296,0.970840871334,0.661561787128,0.755447804928,"Uniform, all: ModT",-0.6
1297,0.96986746788,0.644166827202,0.747608006001,"Uniform, all: CyberT",-0.6
1298,0.971101105213,0.661006987095,0.759084165096,"Uniform, all: fold_change",-0.6
1299,0.971964359283,0.739746153355,0.732571423054,"Normal: ModT",-0.6
1300,0.971697926521,0.736345410347,0.726896941662,"Normal: CyberT",-0.6
1301,0.972687125206,0.752033174038,0.740057945251,"Normal: fold_change",-0.6
1302,0.957761049271,0.448679983616,0.717284679413,"Normal, all: ModT",-0.6
1303,0.958086311817,0.446086585522,0.713757514954,"Normal, all: CyberT",-0.6
1304,0.957791388035,0.467161625624,0.729674816132,"Normal, all: fold_change",-0.6
1305,0.961293756962,0.60698646307,0.70727288723,"Uniform, all: ModT",-0.6
1306,0.960211396217,0.591279149055,0.703165531158,"Uniform, all: CyberT",-0.6
1307,0.961571514606,0.615391612053,0.711808860302,"Uniform, all: fold_change",-0.6
1308,0.965413808823,0.741770625114,0.728515326977,"Normal: ModT",-0.6
