,AUROC,AUPRC,pAUROC,labels,setting
96,0.87738025,0.39627668,0.19502445,fold change,"(1, 9)"
97,0.8533486,0.4264006,0.25786,t-test-1,"(1, 9)"
98,,,,t-test-2,"(1, 9)"
99,0.8701794,0.4657796,0.30065554,modT-1,"(1, 9)"
100,0.8701794,0.4657796,0.30065554,modT-2,"(1, 9)"
101,0.87195873,0.4861708,0.3193178,modT-1 trend,"(1, 9)"
102,0.8755467,0.49603078,0.33288667,modT-2 trend,"(1, 9)"
103,0.8826371,0.51597375,0.35086444,cyberT,"(1, 9)"
104,0.8750534,0.40238738,0.2079489,fold change,"(1, 9)"
105,0.84620184,0.43089908,0.25966,t-test-1,"(1, 9)"
106,,,,t-test-2,"(1, 9)"
107,0.8642603,0.4723524,0.3146111,modT-1,"(1, 9)"
108,0.8642603,0.4723524,0.3146111,modT-2,"(1, 9)"
109,0.8657908,0.49587357,0.32982665,modT-1 trend,"(1, 9)"
110,0.86830425,0.49853942,0.34199777,modT-2 trend,"(1, 9)"
111,0.8744955,0.51418877,0.35378,cyberT,"(1, 9)"
112,0.8866453,0.4254832,0.22630888,fold change,"(1, 9)"
113,0.8667025,0.46806997,0.28197777,t-test-1,"(1, 9)"
114,,,,t-test-2,"(1, 9)"
115,0.8824582,0.5033947,0.32577333,modT-1,"(1, 9)"
116,0.8824582,0.5033947,0.32577333,modT-2,"(1, 9)"
117,0.8844639,0.52976054,0.34776667,modT-1 trend,"(1, 9)"
118,0.887148,0.5320594,0.3608889,modT-2 trend,"(1, 9)"
119,0.89313763,0.5509552,0.38423556,cyberT,"(1, 9)"
120,0.87675977,0.40417603,0.20632444,fold change,"(1, 9)"
121,0.86497635,0.46246582,0.28606,t-test-1,"(1, 9)"
122,,,,t-test-2,"(1, 9)"
123,0.8788734,0.49602035,0.31800222,modT-1,"(1, 9)"
124,0.8788734,0.49602035,0.31800222,modT-2,"(1, 9)"
125,0.8814419,0.52809167,0.34179333,modT-1 trend,"(1, 9)"
126,0.88316995,0.52625,0.3510422,modT-2 trend,"(1, 9)"
127,0.8875197,0.5369235,0.36587554,cyberT,"(1, 9)"
128,0.8856858,0.40854508,0.20785111,fold change,"(1, 9)"
129,0.86557317,0.4588901,0.28396666,t-test-1,"(1, 9)"
130,,,,t-test-2,"(1, 9)"
131,0.88158387,0.49425933,0.32577333,modT-1,"(1, 9)"
132,0.88158387,0.49425933,0.32577333,modT-2,"(1, 9)"
133,0.8842772,0.5315809,0.35548,modT-1 trend,"(1, 9)"
134,0.88552654,0.5203634,0.35508445,modT-2 trend,"(1, 9)"
135,0.8917142,0.5388543,0.37773556,cyberT,"(1, 9)"
136,0.87270683,0.40711406,0.21282889,fold change,"(1, 9)"
137,0.8505578,0.43424833,0.2681,t-test-1,"(1, 9)"
138,,,,t-test-2,"(1, 9)"
139,0.8660995,0.4767242,0.3185222,modT-1,"(1, 9)"
140,0.8660995,0.4767242,0.3185222,modT-2,"(1, 9)"
141,0.8672282,0.501282,0.33464888,modT-1 trend,"(1, 9)"
142,0.869536,0.5033413,0.34815112,modT-2 trend,"(1, 9)"
143,0.87535465,0.52087504,0.3722089,cyberT,"(1, 9)"
144,0.87053466,0.3954161,0.20262666,fold change,"(1, 9)"
145,0.85428214,0.42970213,0.25635555,t-test-1,"(1, 9)"
146,,,,t-test-2,"(1, 9)"
147,0.8696446,0.4659736,0.2926,modT-1,"(1, 9)"
148,0.8696446,0.4659736,0.2926,modT-2,"(1, 9)"
149,0.8718243,0.4915812,0.31092444,modT-1 trend,"(1, 9)"
150,0.8739815,0.49294043,0.3208089,modT-2 trend,"(1, 9)"
151,0.8798834,0.5123589,0.34356222,cyberT,"(1, 9)"
152,0.87640566,0.4001692,0.19156666,fold change,"(1, 9)"
153,0.8591811,0.45237562,0.2848911,t-test-1,"(1, 9)"
154,,,,t-test-2,"(1, 9)"
155,0.8734854,0.4850997,0.3195511,modT-1,"(1, 9)"
156,0.8734854,0.4850997,0.3195511,modT-2,"(1, 9)"
157,0.8758361,0.5274076,0.3496511,modT-1 trend,"(1, 9)"
158,0.8769549,0.5137781,0.35182667,modT-2 trend,"(1, 9)"
159,0.88224274,0.53019524,0.36927778,cyberT,"(1, 9)"
160,0.8858107,0.42603818,0.23060444,fold change,"(1, 9)"
161,0.8682659,0.45424023,0.28061557,t-test-1,"(1, 9)"
162,,,,t-test-2,"(1, 9)"
163,0.8845305,0.5001933,0.3279689,modT-1,"(1, 9)"
164,0.8845305,0.5001933,0.3279689,modT-2,"(1, 9)"
165,0.88670117,0.5290488,0.35013112,modT-1 trend,"(1, 9)"
166,0.8891008,0.5293882,0.3591311,modT-2 trend,"(1, 9)"
167,0.8948177,0.54516613,0.37376446,cyberT,"(1, 9)"
168,0.87612295,0.4036466,0.21119556,fold change,"(1, 9)"
169,0.8575868,0.42666778,0.25451112,t-test-1,"(1, 9)"
170,,,,t-test-2,"(1, 9)"
171,0.8734258,0.47233295,0.30456445,modT-1,"(1, 9)"
172,0.8734258,0.47233295,0.30456445,modT-2,"(1, 9)"
173,0.8756147,0.50439876,0.33122224,modT-1 trend,"(1, 9)"
174,0.8775356,0.5013456,0.33320445,modT-2 trend,"(1, 9)"
175,0.882525,0.5224125,0.3527,cyberT,"(1, 9)"
176,0.87909615,0.40348446,0.21006666,fold change,"(1, 9)"
177,0.8550677,0.43543074,0.26384,t-test-1,"(1, 9)"
178,,,,t-test-2,"(1, 9)"
179,0.8716222,0.47146776,0.2986089,modT-1,"(1, 9)"
180,0.8716222,0.47146776,0.2986089,modT-2,"(1, 9)"
181,0.87421215,0.50502384,0.32229334,modT-1 trend,"(1, 9)"
182,0.87706465,0.50826293,0.33034444,modT-2 trend,"(1, 9)"
183,0.8835999,0.5265451,0.34936443,cyberT,"(1, 9)"
184,0.8748736,0.4040782,0.20414889,fold change,"(1, 9)"
185,0.8523416,0.43480906,0.26326,t-test-1,"(1, 9)"
186,,,,t-test-2,"(1, 9)"
187,0.869405,0.48226726,0.31573334,modT-1,"(1, 9)"
188,0.869405,0.48226726,0.31573334,modT-2,"(1, 9)"
189,0.87144226,0.5107516,0.33948,modT-1 trend,"(1, 9)"
