,FP_raw,TP_raw,FP_adj,TP_adj,labels,setting
35327,560.0,992.0,93.0,978.0,cyberT,0.9
35328,0.0,2.0,0.0,0.0,fold change,0.9
35329,456.0,730.0,0.0,1.0,t-test-1,0.9
35330,487.0,929.0,12.0,255.0,t-test-2,0.9
35331,444.0,992.0,48.0,963.0,modT-1,0.9
35332,443.0,989.0,47.0,937.0,modT-2,0.9
35333,310.0,991.0,18.0,952.0,modT-1 trend,0.9
35334,441.0,988.0,47.0,938.0,modT-2 trend,0.9
35335,523.0,993.0,83.0,971.0,cyberT,0.9
35336,0.0,1.0,0.0,0.0,fold change,0.9
35337,430.0,742.0,0.0,1.0,t-test-1,0.9
35338,485.0,938.0,9.0,207.0,t-test-2,0.9
35339,417.0,993.0,37.0,958.0,modT-1,0.9
35340,438.0,990.0,50.0,954.0,modT-2,0.9
35341,324.0,993.0,10.0,951.0,modT-1 trend,0.9
35342,440.0,990.0,50.0,954.0,modT-2 trend,0.9
35343,517.0,995.0,79.0,977.0,cyberT,0.9
35344,0.0,1.0,0.0,0.0,fold change,0.9
35345,467.0,745.0,0.0,0.0,t-test-1,0.9
35346,455.0,952.0,11.0,279.0,t-test-2,0.9
35347,437.0,995.0,33.0,945.0,modT-1,0.9
35348,482.0,994.0,36.0,965.0,modT-2,0.9
35349,281.0,995.0,9.0,936.0,modT-1 trend,0.9
35350,484.0,994.0,36.0,965.0,modT-2 trend,0.9
35351,550.0,996.0,69.0,978.0,cyberT,0.9
35352,0.0,1.0,0.0,0.0,fold change,0.9
35353,485.0,749.0,0.0,0.0,t-test-1,0.9
35354,526.0,926.0,27.0,370.0,t-test-2,0.9
35355,469.0,988.0,41.0,946.0,modT-1,0.9
35356,477.0,988.0,46.0,940.0,modT-2,0.9
35357,291.0,987.0,14.0,934.0,modT-1 trend,0.9
35358,475.0,987.0,47.0,940.0,modT-2 trend,0.9
35359,568.0,992.0,83.0,966.0,cyberT,0.9
35360,0.0,1.0,0.0,0.0,fold change,0.9
35361,420.0,737.0,0.0,0.0,t-test-1,0.9
35362,459.0,935.0,24.0,378.0,t-test-2,0.9
35363,385.0,991.0,37.0,946.0,modT-1,0.9
35364,419.0,987.0,49.0,940.0,modT-2,0.9
35365,242.0,991.0,16.0,936.0,modT-1 trend,0.9
35366,418.0,987.0,49.0,940.0,modT-2 trend,0.9
35367,491.0,994.0,74.0,972.0,cyberT,0.9
35368,0.0,3.0,0.0,0.0,fold change,0.9
35369,452.0,750.0,0.0,0.0,t-test-1,0.9
35370,470.0,933.0,23.0,348.0,t-test-2,0.9
35371,460.0,990.0,46.0,957.0,modT-1,0.9
35372,472.0,987.0,43.0,943.0,modT-2,0.9
35373,310.0,990.0,11.0,945.0,modT-1 trend,0.9
35374,473.0,988.0,42.0,943.0,modT-2 trend,0.9
35375,553.0,989.0,82.0,973.0,cyberT,0.9
35376,0.0,1.0,0.0,0.0,fold change,0.9
35377,439.0,754.0,0.0,2.0,t-test-1,0.9
35378,463.0,925.0,14.0,309.0,t-test-2,0.9
35379,465.0,993.0,41.0,952.0,modT-1,0.9
35380,473.0,990.0,37.0,947.0,modT-2,0.9
35381,307.0,992.0,12.0,945.0,modT-1 trend,0.9
35382,470.0,990.0,37.0,948.0,modT-2 trend,0.9
35383,549.0,995.0,72.0,970.0,cyberT,0.9
35384,0.0,2.0,0.0,0.0,fold change,0.9
35385,453.0,736.0,0.0,0.0,t-test-1,0.9
35386,510.0,936.0,21.0,286.0,t-test-2,0.9
35387,498.0,992.0,41.0,947.0,modT-1,0.9
35388,525.0,988.0,40.0,940.0,modT-2,0.9
35389,280.0,990.0,24.0,935.0,modT-1 trend,0.9
35390,521.0,988.0,40.0,940.0,modT-2 trend,0.9
35391,609.0,994.0,87.0,962.0,cyberT,0.9
35392,0.0,1.0,0.0,0.0,fold change,0.9
35393,442.0,743.0,0.0,0.0,t-test-1,0.9
35394,497.0,921.0,15.0,320.0,t-test-2,0.9
35395,444.0,995.0,61.0,956.0,modT-1,0.9
35396,467.0,995.0,54.0,935.0,modT-2,0.9
35397,295.0,994.0,22.0,943.0,modT-1 trend,0.9
35398,471.0,995.0,55.0,937.0,modT-2 trend,0.9
35399,547.0,997.0,94.0,974.0,cyberT,0.9
35400,0.0,2.0,0.0,0.0,fold change,0.9
35401,440.0,757.0,0.0,0.0,t-test-1,0.9
35402,451.0,936.0,17.0,304.0,t-test-2,0.9
35403,426.0,991.0,53.0,956.0,modT-1,0.9
35404,432.0,990.0,41.0,948.0,modT-2,0.9
35405,247.0,991.0,18.0,943.0,modT-1 trend,0.9
35406,434.0,990.0,42.0,948.0,modT-2 trend,0.9
35407,514.0,993.0,76.0,972.0,cyberT,0.9
35408,0.0,1.0,0.0,0.0,fold change,0.9
35409,481.0,751.0,1.0,1.0,t-test-1,0.9
35410,518.0,937.0,24.0,337.0,t-test-2,0.9
35411,474.0,991.0,46.0,940.0,modT-1,0.9
35412,479.0,989.0,49.0,935.0,modT-2,0.9
35413,279.0,991.0,22.0,931.0,modT-1 trend,0.9
35414,479.0,988.0,48.0,936.0,modT-2 trend,0.9
35415,559.0,991.0,86.0,966.0,cyberT,0.9
35416,1.0,3.0,0.0,0.0,fold change,0.9
35417,448.0,736.0,0.0,0.0,t-test-1,0.9
35418,476.0,925.0,16.0,291.0,t-test-2,0.9
35419,455.0,990.0,59.0,947.0,modT-1,0.9
35420,460.0,987.0,56.0,935.0,modT-2,0.9
35421,326.0,988.0,24.0,938.0,modT-1 trend,0.9
35422,459.0,987.0,54.0,935.0,modT-2 trend,0.9
35423,546.0,992.0,103.0,965.0,cyberT,0.9
35424,1.0,0.0,0.0,0.0,fold change,0.9
35425,436.0,737.0,0.0,1.0,t-test-1,0.9
35426,475.0,946.0,19.0,337.0,t-test-2,0.9
35427,455.0,997.0,54.0,942.0,modT-1,0.9
35428,495.0,995.0,60.0,953.0,modT-2,0.9
35429,392.0,997.0,26.0,936.0,modT-1 trend,0.9
35430,498.0,995.0,62.0,955.0,modT-2 trend,0.9
35431,548.0,996.0,104.0,977.0,cyberT,0.9
35432,0.0,1.0,0.0,0.0,fold change,0.9
35433,460.0,748.0,0.0,0.0,t-test-1,0.9
35434,455.0,926.0,14.0,356.0,t-test-2,0.9
35435,449.0,993.0,39.0,940.0,modT-1,0.9
35436,458.0,993.0,38.0,937.0,modT-2,0.9
35437,240.0,993.0,16.0,925.0,modT-1 trend,0.9
35438,458.0,993.0,40.0,939.0,modT-2 trend,0.9
35439,519.0,997.0,79.0,964.0,cyberT,0.9
35440,1.0,0.0,0.0,0.0,fold change,0.9
35441,420.0,746.0,0.0,0.0,t-test-1,0.9
35442,487.0,935.0,25.0,319.0,t-test-2,0.9
35443,479.0,997.0,68.0,956.0,modT-1,0.9
35444,471.0,994.0,55.0,939.0,modT-2,0.9
35445,347.0,997.0,27.0,949.0,modT-1 trend,0.9
35446,471.0,994.0,55.0,941.0,modT-2 trend,0.9
35447,569.0,998.0,102.0,968.0,cyberT,0.9
35448,0.0,1.0,0.0,0.0,fold change,0.9
35449,439.0,734.0,0.0,0.0,t-test-1,0.9
35450,472.0,924.0,17.0,292.0,t-test-2,0.9
35451,466.0,991.0,49.0,956.0,modT-1,0.9
